State,code,turnout
Alabama,AL,47.29
Alaska,AK,54.62
Arizona,AZ,49.08
Arkansas,AR,41.38
California,CA,49.59
Colorado,CO,62.95
Connecticut,CT,54.39
Delaware,DE,51.44
Florida,FL,54.94
Georgia,GA,55.03
Hawaii,HI,39.3
Idaho,ID,50.03
Illinois,IL,51.4
Indiana,IN,46.89
Iowa,IA,57.71
Kansas,KS,51.15
Kentucky,KY,48.57
Louisiana,LA,44.76
Maine,ME,60.21
Maryland,MD,54.22
Massachusetts,MA,54.59
Michigan,MI,57.78
Minnesota,MN,64.25
Mississippi,MS,43.66
Missouri,MO,53.43
Montana,MT,61.97
Nebraska,NE,51.8
Nevada,NV,47.55
New Hampshire,NH,54.65
New Jersey,NJ,53.13
New Mexico,NM,47.34
New York,NY,45.24
North Carolina,NC,49.57
North Dakota,ND,58.6
Ohio,OH,50.87
Oklahoma,OK,42.52
Oregon,OR,61.51
Pennsylvania,PA,51.68
Rhode Island,RI,48.05
South Carolina,SC,45.21
South Dakota,SD,53.25
Tennessee,TN,45.07
Texas,TX,46.34
Utah,UT,52
Vermont,VT,55.9
Virginia,VA,54.77
Washington,WA,58.94
West Virginia,WV,42.49
Wisconsin,WI,61.68
Wyoming,WY,48.68
